lat,long,username,location,original_tweet_status_id,original_tweet,reply_tweet_status_id,reply_tweet
53.42588,-2.169323,MattPidd,"Stockport, United Kingdom",453616889013739521,@Dankreutz beleive! #etcheliebe,453618031319842816,@MattPidd I think you meant to type 'believe'
36.2331803,-115.2861843,smiling_rach,"Las Vegas, United States",453616980763746304,@kimsexjin still cant beleive only 4 more days just to miss them even more and didnt I give you my number already?,453618024902565888,@smiling_rach I think you meant to type 'believe'
39.395641,-83.992374,FxckMeLawrence,"Clarksville, United States",453617193239191553,"@realcraicalaicn aye dude lol, I just got a phone! You beleive it? I'm 17 1/2 and I never had a phone....",453618021660360704,@horanftlawrence I think you meant to type 'believe'
45.5086699,-73.55399249999999,billmartin_can,"Montreal, Canada",453611428297986048,@aribasmadjian The first trade was to accomodate the goalie contraversey. To accomodate Luo. Lou could not be traded because of contract,453617962722017281,@billmartin_can I think you meant to type 'accommodate'
29.7601927,-95.36938959999999,kinseyholley,"Houston, United States",453612967578583040,@smexybooks is whether I accomodate my OCD &amp; watch Season 3 (I missed it entirely) or just jump into 4. What do you think?,453617959215566849,@kinseyholley I think you meant to type 'accommodate'
33.836017,-98.6104381,MsBiancaYvette,"Wichita Falls, United States",229757488784871424,You don't realize how big your wardrobe is until you use three closets to accomodate it all. #WhyDoIHaveSoManyHeels #SomeoneBringMeCake,229803664523554816,@MsBiancaYvette I think you meant to type accommodate
14.5995124,120.9842195,ilovefem,"Manila, Philippines",229778843899146241,@JustoniSwag 17 pa kasi start ng enrolling for 2nd sem eh. Taz friday pa yun eh di naman lahat ma accomodate. Kayo ba?,229803645590441984,@ilovefem I think you meant to type accommodate
41.2033216,-77.1945247,MissRuth1021,", United States",229791190965432321,@djsmuzz glad we can accomodate a member of #ThePatriarchy @lembas_n_coffee,229803640876060673,@MissRuth1021 I think you meant to type accommodate
20.593684,78.96288,pawandhakla,", India",229798186728972289,@janlokpal @_karanmalhotra lets see today.yesterday was a holiday and a mall having 7 to 8 screen can accomodate 6000 people,229803621825536001,@pawandhakla I think you meant to type accommodate
29.95106579999999,-90.0715323,caryvindel,"New Orleans, United States",229802625128873984,@HannahOrtegaaa LMFAO! 😂 I don't beleive you 😒 &amp; I hate when that happens..,229803575155511296,@caryvindel I think you meant to type believe!
25.7890972,-80.2040435,FutureDPT_305,"Miami, United States",229422433873039360,@Resilient_Phil9 to accomodate ppl...,229441264821624832,@iLoveMy_305 I think you meant to type accommodate
121.0185307,14.7727188,andreadcdg,"Marilao, Philippines",229440624657563648,Good afternoon guys..watcha doin?? :)) Can't beleive I'm da president of our school..!! Ahaha :)),229441150531039232,@AndreaStyles05 I think you meant to type believe!
51.508515,-0.1254872,go4twilight,"London, United Kingdom",229076594919104512,@AineBelton Very deep thought.........I like it. One should accomodate element of risk with open heart to move forward.,229078869003628544,@go4twilight I think you meant to type accommodate
34.0522342,-118.2436849,HisHONEYnoCOMBS,"Los Angeles, United States",229077572170969088,"@_theeKingD is telling me that im awsome,amazing and incredible :) Idk if i should beleive her cause she's TRIPPY !!!!",229078827446439938,@HisHONEYnoCOMBS I think you meant to type believe!
